name,last_name,email,group
Alumno1,"Apellido 1º ESO A",alumno11esoa@example.com,"1º ESO A"
Alumno2,"Apellido 1º ESO A",alumno21esoa@example.com,"1º ESO A"
Alumno3,"Apellido 1º ESO A",alumno31esoa@example.com,"1º ESO A"
Alumno4,"Apellido 1º ESO A",alumno41esoa@example.com,"1º ESO A"
Alumno5,"Apellido 1º ESO A",alumno51esoa@example.com,"1º ESO A"
Alumno6,"Apellido 1º ESO A",alumno61esoa@example.com,"1º ESO A"
Alumno7,"Apellido 1º ESO A",alumno71esoa@example.com,"1º ESO A"
Alumno8,"Apellido 1º ESO A",alumno81esoa@example.com,"1º ESO A"
Alumno9,"Apellido 1º ESO A",alumno91esoa@example.com,"1º ESO A"
Alumno10,"Apellido 1º ESO A",alumno101esoa@example.com,"1º ESO A"
Alumno1,"Apellido 1º ESO B",alumno11esob@example.com,"1º ESO B"
Alumno2,"Apellido 1º ESO B",alumno21esob@example.com,"1º ESO B"
Alumno3,"Apellido 1º ESO B",alumno31esob@example.com,"1º ESO B"
Alumno4,"Apellido 1º ESO B",alumno41esob@example.com,"1º ESO B"
Alumno5,"Apellido 1º ESO B",alumno51esob@example.com,"1º ESO B"
Alumno6,"Apellido 1º ESO B",alumno61esob@example.com,"1º ESO B"
Alumno7,"Apellido 1º ESO B",alumno71esob@example.com,"1º ESO B"
Alumno8,"Apellido 1º ESO B",alumno81esob@example.com,"1º ESO B"
Alumno9,"Apellido 1º ESO B",alumno91esob@example.com,"1º ESO B"
Alumno10,"Apellido 1º ESO B",alumno101esob@example.com,"1º ESO B"
Alumno1,"Apellido 1º ESO C",alumno11esoc@example.com,"1º ESO C"
Alumno2,"Apellido 1º ESO C",alumno21esoc@example.com,"1º ESO C"
Alumno3,"Apellido 1º ESO C",alumno31esoc@example.com,"1º ESO C"
Alumno4,"Apellido 1º ESO C",alumno41esoc@example.com,"1º ESO C"
Alumno5,"Apellido 1º ESO C",alumno51esoc@example.com,"1º ESO C"
