Profesor_Email;Profesor_Nombre;Curso_Escolar;Plantilla_ID;Plantilla_Nombre;Dia;Tramo_ID;Tramo_Nombre;Tipo;Asignatura_o_Texto;Grupo_ID;Grupo_Nombre;Guardia_ID
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Lunes;1;1a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Lunes;2;2a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Lunes;3;3a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Lunes;5;4a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Lunes;6;5a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Lunes;7;6a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Martes;1;1a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Martes;2;2a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Martes;3;3a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Martes;5;4a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Martes;7;6a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Miércoles;1;1a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Miércoles;2;2a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Miércoles;3;3a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Miércoles;7;6a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Jueves;1;1a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Jueves;2;2a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Jueves;3;3a;clase;Matemáticas;1;"1º ESO A";
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Jueves;6;5a;guardia;Guardia;;;
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Jueves;7;6a;guardia;Guardia;;;
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Viernes;2;2a;guardia;Guardia;;;
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Viernes;3;3a;texto;Tutoría;;;
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Viernes;5;4a;texto;"Reunión de Departamento";;;
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Viernes;6;5a;texto;"Guardia de Recreo";;;
carlos.garcia@example.com;"Carlos García";2026/2027;1;"Horario Escolar";Viernes;7;6a;texto;"Guardia de Biblioteca";;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Lunes;2;2a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Lunes;3;3a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Lunes;6;5a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Lunes;7;6a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Martes;1;1a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Martes;2;2a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Martes;3;3a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Martes;5;4a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Martes;6;5a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Martes;7;6a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Miércoles;1;1a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Miércoles;3;3a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Miércoles;5;4a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Miércoles;6;5a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Miércoles;7;6a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Jueves;2;2a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Jueves;3;3a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Jueves;5;4a;clase;"Lengua Castellana";2;"2º ESO B";
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Jueves;6;5a;guardia;Guardia;;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Jueves;7;6a;guardia;Guardia;;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Viernes;1;1a;guardia;Guardia;;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Viernes;2;2a;texto;Tutoría;;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Viernes;3;3a;texto;"Reunión de Departamento";;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Viernes;5;4a;texto;"Guardia de Recreo";;;
maria.lopez@example.com;"María López";2026/2027;1;"Horario Escolar";Viernes;7;6a;texto;"Guardia de Biblioteca";;;
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Lunes;1;1a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Lunes;2;2a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Lunes;3;3a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Lunes;5;4a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Lunes;6;5a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Lunes;7;6a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Martes;1;1a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Martes;2;2a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Martes;3;3a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Martes;5;4a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Martes;6;5a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Martes;7;6a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Miércoles;2;2a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Miércoles;3;3a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Miércoles;5;4a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Miércoles;7;6a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Jueves;1;1a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Jueves;3;3a;clase;Geografía;3;"3º ESO A";
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Jueves;5;4a;guardia;Guardia;;;
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Jueves;6;5a;guardia;Guardia;;;
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Jueves;7;6a;guardia;Guardia;;;
juan.perez@example.com;"Juan Pérez";2026/2027;1;"Horario Escolar";Viernes;2;2a;texto;Tutoría;;;
